,sac,td3,ppo,ddpg
0,1000000.0,1000000.0,1000000.0,1000000.0
1,999000.97,999001.34,999858.93,999001.09
2,976371.59,978000.41,995291.74,977904.36
3,977168.78,975397.29,992277.19,977137.36
4,964802.28,964734.66,986545.33,967468.11
5,968179.84,962718.16,985516.68,966217.61
6,941370.03,925112.79,970978.52,928947.48
7,942980.73,919387.54,957064.1,914705.42
8,954985.81,937863.91,977924.31,932303.36
9,954350.43,929837.54,982016.69,926431.67
10,958710.93,935768.41,984427.63,934619.48
11,947696.74,916456.54,982753.56,915744.42
12,916518.06,880878.72,938032.44,877627.73
13,917862.93,877881.6,937763.56,878371.98
14,860146.49,814661.29,864481.94,812460.61
15,864416.24,836777.04,879174.94,834020.17
16,823880.18,792244.29,837316.13,789696.98
17,817757.43,766092.16,832256.19,766628.36
18,761168.24,703517.22,783119.0,705186.48
19,719362.12,665309.41,758792.44,672094.98
20,771592.37,709012.29,800367.94,720432.48
21,657028.37,594229.04,697084.94,600823.25
22,676286.87,605521.79,713630.44,614305.88
23,727477.43,639656.29,749984.0,645006.63
24,747581.99,673074.04,779592.81,680622.38
25,735584.31,657802.47,754181.69,657735.88
26,728265.74,641198.1,725871.06,635988.75
27,745916.31,649552.79,736567.63,644701.44
28,722317.87,633853.54,732197.56,629283.75
29,700393.18,626452.79,715832.69,624063.32
30,776679.93,683802.6,805996.44,678603.63
31,773869.45,684817.41,817515.19,682892.63
32,798517.64,705617.29,876881.31,709946.38
33,782902.39,690198.1,872711.75,697572.88
34,799178.2,697921.29,853730.81,698933.38
35,814402.45,711963.91,854187.69,703224.88
36,823143.39,730093.91,888081.94,724368.94
37,806196.14,717012.54,871089.63,711328.88
38,786607.01,698375.1,856224.69,693986.0
39,814177.51,714156.6,876918.81,710281.88
40,808220.51,713343.91,879945.75,709667.07
41,792917.89,691598.54,873865.81,692035.63
42,812559.7,708462.97,884842.88,707868.13
43,810198.89,720068.54,884456.44,719802.5
44,811872.64,726645.29,887545.31,722536.69
45,833052.08,741746.66,929719.0,736759.25
46,790089.26,707890.04,875697.75,699449.63
47,780477.14,696268.04,861959.44,682523.25
48,780824.33,703632.97,873502.81,689697.88
49,772331.89,699687.22,860590.94,683765.75
50,782551.08,705862.72,861011.63,686204.57
51,783086.14,699525.04,886862.44,684799.63
52,782194.2,701556.66,891292.88,685702.75
53,772886.89,704399.41,908968.81,699482.0
54,766865.14,693446.1,910925.81,694105.88
55,771310.51,692241.04,903269.94,690782.75
56,744196.14,666963.91,853703.44,664093.0
57,746858.83,671062.54,864537.44,668737.07
58,759125.39,692579.79,880876.63,685968.63
59,761387.2,684671.22,898033.75,681534.38
60,756808.95,674986.16,897920.56,677129.0
61,763057.14,672145.04,898971.88,666704.25
62,772224.51,689030.6,911389.19,683994.69
63,787769.89,701210.79,933353.19,693225.38
64,809519.83,718408.1,961847.56,708218.82
65,820687.58,732475.79,968843.69,724668.38
66,827853.39,751460.22,968336.31,746478.07
67,838107.08,764450.97,968246.44,754686.25
68,828428.95,754103.79,975501.38,746361.07
69,832057.01,763389.29,978742.69,754248.88
70,832200.89,767584.85,982217.81,765464.32
71,819684.89,762275.04,984160.19,762666.75
72,817927.76,760470.41,973859.31,759346.0
73,808812.95,750092.91,959580.31,747721.88
74,815469.45,757921.29,975372.94,757268.13
75,803068.14,742692.91,959242.06,742238.25
76,805043.08,744989.85,962892.38,744607.44
77,804182.39,741499.85,967002.06,741319.13
78,816223.7,762152.54,970460.06,760674.38
79,835344.45,781893.29,977909.06,782414.0
80,845853.14,798764.22,1000691.31,803211.44
81,861306.14,820923.54,1008388.38,822737.88
82,852795.89,805541.16,996093.56,806467.25
83,852355.45,804126.6,1000702.0,808631.25
84,848687.14,802190.04,1001828.06,803371.88
85,846914.76,796590.79,993789.06,797877.13
86,858607.08,798484.04,999258.69,796037.75
87,859871.83,808056.6,999728.69,807960.57
88,864448.2,811659.91,1018637.94,814121.5
89,862026.64,810986.04,1028024.38,815880.75
90,874812.14,824496.6,1036494.94,826886.94
91,889628.01,843253.41,1032952.5,842894.25
92,875081.7,831734.41,1026375.06,831356.44
93,879786.64,842816.41,1027148.56,841814.82
94,877044.89,838407.72,1023736.13,837501.63
